x1,y2,z1,x2,y2,z2,x3,y3,z3,x4,y4,z5,x5,y5,z5
438,593,381,609,494,482,361,472,496,623,596,395,505,360,488
491,558,371,634,517,501,376,488,511,634,623,381,528,370,508
514,567,376,641,523,509,380,493,517,623,654,383,537,374,511
519,567,384,645,523,512,380,493,523,605,654,399,540,378,511
519,563,394,649,523,512,380,493,523,598,646,408,537,382,511
524,559,414,653,523,512,380,493,523,598,626,417,537,380,517
514,559,422,653,523,512,380,496,523,583,606,429,537,380,517
514,550,442,653,523,512,380,493,523,576,606,438,537,380,517
510,547,448,647,522,512,383,495,524,567,585,445,538,377,517
488,552,438,642,520,513,383,496,521,579,570,445,536,381,513
458,567,420,639,520,515,383,496,520,591,569,434,537,382,513
448,554,416,639,520,515,384,497,518,588,562,439,540,382,512
453,540,430,644,517,514,384,496,518,587,560,455,541,385,512
450,512,404,650,516,514,383,493,519,590,536,465,545,387,514
459,480,407,657,518,514,383,490,521,586,496,463,545,386,520
474,472,414,665,517,512,383,489,522,566,515,458,543,384,523
443,513,369,672,509,518,384,489,525,570,507,455,542,383,524
431,508,359,666,522,514,383,493,520,592,469,426,542,381,529
414,493,403,640,536,513,383,496,516,600,503,392,542,386,523
388,535,419,611,540,516,386,501,515,608,506,373,541,387,515
407,548,395,612,502,513,388,502,510,611,519,357,543,384,523
434,534,391,612,469,515,385,494,512,572,525,369,542,388,528
450,534,394,617,469,535,380,484,522,551,532,367,542,391,528
473,485,406,613,489,542,377,485,521,560,541,366,543,386,535
483,491,404,660,604,556,380,490,518,555,529,368,539,381,542
477,521,383,661,518,499,381,492,521,561,535,369,530,380,540
470,519,382,659,458,487,386,497,524,575,528,377,528,382,530
482,546,385,668,505,515,379,492,519,559,528,379,528,379,524
482,537,363,650,508,511,375,497,515,556,537,385,530,369,531
510,559,361,627,511,528,378,498,514,551,549,379,536,368,532
521,559,356,618,519,528,377,493,515,545,535,365,539,370,531
514,549,360,621,515,519,374,492,514,543,546,357,535,379,530
514,521,381,636,508,518,369,493,506,540,538,365,533,385,531
511,497,391,651,494,522,368,489,500,551,542,374,537,387,535
